"Name";"Season";"Club";"Position";"Apps";"Minutes Played";"Distance Run (km)";"Player of the Match";"Goals";"Assists";"xG";"Shots on Target";"Shots";"Penalties Taken";"Penalties Scored";"Successful Passes";"Attempted Passes";"Pass%";"Key Passes";"Successful Crosses";"Attempted Crosses";"Cross%";"Chances Created";"Successful Headers";"Attempted Headers";"Header%";"Key Headers";"Dribbles";"Tackles Won";"Attempted Tackles";"Tackle%";"Key Tackles";"Interceptions";"Clearances";"Mistakes Leading to Goals";"Yellow Cards";"Red Cards";"Fouls";"Fouls Against";"Offsides";"Average Rating";"Acc";"Aer";"Agg";"Agi";"Ant";"Bal";"Bra";"Cmd";"Com";"Cmp";"Cnt";"Cor";"Cro";"Dec";"Det";"Dri";"Ecc";"Fin";"Fir";"Fla";"Fre";"Han";"Hea";"Jum";"Kic";"Ldr";"Lon";"L Th";"Mar";"Nat";"OtB";"1v1";"Pac";"Pas";"Pen";"Pos";"Pun";"Ref";"TRO";"Sta";"Str";"Tck";"Tea";"Tec";"Thr";"Vis";"Wor"
"AJ Williams";"5.0";"Montréal United";"D (RLC)";10;900;121,2;0;1;0;0,3;1;6;0;0;854;893;956,17;3;1;3;100;0;54;67;820,28;5;2;11;14;533,34;2;11;74;0;1;0;8;0;0;7,04;10;5;12,7;7;9;10;12,7;5;5;11,5;10;5;5;10;12,4;10;5;5;10;5;5;5;11,6;10;5;6;5;5;10;20;7;5;10;10;5;10;5;5;5;20;10;10;12,7;10;5;7;12,7
"AJ Williams";"6.0";"Montréal United";"D (RLC)";10;900;108,3;0;0;0;0;0;0;0;0;624;643;968,7;0;0;0;NA;0;117;161;743,97;16;0;7;12;550;2;28;133;0;2;0;9;2;0;6,74;10;5;13;9;9;10;13;5;5;12;13;5;5;13;13;10;5;5;10;5;5;5;13;10;5;6;5;5;10;20;7;5;10;10;5;13;5;5;5;20;10;10;13;10;5;7;13
"AJ Williams";"7.0";"Montréal United";"D (RLC)";14;1260;155,1;0;0;0;0,32;0;6;0;0;1011;1043;1361;1;0;1;0;0;67;93;1031,14;8;0;18;21;1016,67;3;44;82;0;3;0;13;0;0;7;12,79;5;13;10,43;9,93;12,79;13;5;5;12;13;5;5;13;13;10;5;5;10;5;5;5;13;10;5;7;5;5;10;20;7;5;12,93;12,79;5;13;5;5;5;20;10;10;13;10;5;9;13
"AJ Williams";"8.0";"Montréal United";"D (RLC)";12;1080;128,1;0;0;0;0,27;1;3;0;0;753;786;1149,58;3;0;1;0;1;70;93;845,82;5;1;19;25;750;1;37;49;0;6;0;13;1;0;6,8;13;5;13;13;10;13;13;5;5;12;13;5;5;13;13;10;5;5;10;5;5;5;13;10;5;7;5;5;10;20;7;5;13;13;5;13;5;5;5;20;10;10;13;10;5;9;13
"AJ Williams";"9.0";"Montréal United";"D (RLC)";5;450;55,2;0;0;0;0;0;0;0;0;236;241;589,96;0;0;0;NA;0;42;56;446,51;5;0;4;5;200;2;11;31;0;2;0;6;1;0;6,7;14;5;13;14;10,67;13;13;5;5;12;13;5;5;13;13;11;5;5;11;5;5;5;13;10;5;7;5;5;10;20;8;5;14,17;13;5;13;5;5;5;20;10;10;13;10;5;9,67;13
"AZEVEDO";"7.0";"Red Star Laos";"AM (C), ST (C)";9,5;839;131,6;0;0;1;1,17;6;13;0;0;337;404;839,27;9;3;11;116,67;1;12;26;322,86;1;10;12;16;480;0;12;10;0;1;0;3;6;0;6,35;8;5;5;5;13;5;5;5;5;14;5;5;5;5;5;15;5;20;14;5;5;5;5;5;5;5;5;5;5;20;6;5;5;5;5;5;5;5;5;20;5;5;5;5;5;5;5
"Abdoulaye Camavinga";"10.0";"F.C. Kaapstad";"D (C), DM";14;1260;153,9;1;0;0;0;0;0;0;0;1264;1302;1350,05;0;0;0;NA;0;170;211;1132,56;22;0;18;24;916,67;2;42;223;1;1;0;6;0;0;7,01;14;5;10;10;13;10;10;5;5;13;13;5;5;13;12;7;5;5;10;5;5;5;14;14;5;5;5;5;18;20;13;5;16;10;5;14;5;5;5;20;14;13;10;10;5;10;13
"Abdoulaye Camavinga";"11.0";"F.C. Kaapstad";"D (C), DM";14;1260;150,3;0;0;0;0,21;0;2;0;0;926;938;1380,26;1;0;0;NA;0;173;206;1189,49;37;0;7;7;500;1;38;158;1;0;0;2;0;0;6,9;14;5;10;10;13;10;10;5;5;13;15;5;5;15;15;7;5;5;10;5;5;5;14;14;5;5;5;5;18;20;13;5;16;10;5;14;5;5;5;20;15;13;11;10;5;10;13
"Abdoulaye Camavinga";"12.0";"F.C. Kaapstad";"D (C), DM";14;1260;183,4;0;0;1;0,07;0;1;0;0;1024;1070;1338,63;6;0;0;NA;3;84;99;1190,71;12;1;6;8;400;3;17;76;0;1;0;2;1;0;6,95;14;5;10;10;13;10;10;5;5;13;15;5;5;15;15;7;5;5;10;5;5;5;14;14;5;5;5;5;18;20;13;5;16;10;5;14;5;5;5;20;15;13;11;10;5;10;13
"Abdoulaye Camavinga";"5.0";"F.C. Kaapstad";"D (C), DM";10;900;109,7;0;0;0;0,07;0;2;0;0;782;826;943,21;2;0;1;0;0;70;89;772,64;12;3;17;24;783,33;5;41;96;2;1;0;6;0;0;6,91;12,6;5;7;10;12,6;7;5;5;5;7;10;5;5;10;10;5;5;5;7;5;5;5;12,6;11,2;5;5;5;5;13,8;20;13;5;13;7;5;12,6;5;5;5;20;12,6;12,6;6,1;5;5;5;12,6
"Abdoulaye Camavinga";"6.0";"F.C. Kaapstad";"D (C), DM";10;900;107;0;0;0;0,28;0;2;0;0;604;658;894,77;1;0;0;NA;0;101;113;892,47;7;0;8;16;321,43;6;32;106;2;2;0;3;0;0;6,89;13,2;5;7;10;13;7;5;5;5;7;12,9;5;5;12,9;10;5;5;5;7;5;5;5;14;13;5;5;5;5;16;20;13;5;15;7,6;5;13;5;5;5;20;13;13;7;5;5;6;13
"Abdoulaye Camavinga";"7.0";"F.C. Kaapstad";"D (C), DM";14;1260;148,6;0;0;0;0,14;0;2;0;0;975;1031;1316,76;2;0;0;NA;0;185;218;1188,96;42;0;8;11;650;4;42;221;1;2;0;5;1;0;6,81;14;5;7;10;13;7;8,93;5;5;8,29;13;5;5;13;12;7;5;5;8,29;5;5;5;14;14;5;5;5;5;17,93;20;13;5;15;10;5;13;5;5;5;20;14;13;10;7,14;5;10;13
"Abdoulaye Camavinga";"8.0";"F.C. Kaapstad";"D (C), DM";14;1260;152,3;0;0;0;0,12;1;2;0;0;932;963;1319,37;0;0;0;NA;0;177;223;1127,62;28;0;13;15;700;6;47;186;0;0;0;2;1;0;7,05;14;5;10;10;13;10;10;5;5;13;13;5;5;13;12;7;5;5;10;5;5;5;14;14;5;5;5;5;18;20;13;5;16;10;5;14;5;5;5;20;14;13;10;10;5;10;13
"Abdoulaye Camavinga";"9.0";"F.C. Kaapstad";"D (C), DM";14;1260;157,5;0;0;0;0,05;0;1;0;0;995;1079;1297;2;0;0;NA;0;145;176;1164,07;26;0;12;14;666,67;9;39;220;1;0;0;5;0;1;6,94;14;5;10;10;13;10;10;5;5;13;13;5;5;13;12;7;5;5;10;5;5;5;14;14;5;5;5;5;18;20;13;5;16;10;5;14;5;5;5;20;14;13;10;10;5;10;13
"Adam Knight";"10.0";"CA Buenos Aires";"D (RL)";1;90;13,9;0;0;0;0,11;1;2;0;0;51;58;87,93;8;4;8;50;1;9;9;100;0;8;1;1;100;0;9;6;0;0;0;1;1;0;8,8;19;5;7;16;16;13;12;5;5;10;13;5;15;16;6;16;5;7;14;7;5;5;7;15;5;5;5;5;17;20;13;5;17;15;5;16;5;5;5;20;16;16;11;13;5;10;15
"Adam Knight";"10.0";"CA Buenos Aires";"D (RLC)";12,5;1096;168,8;0;0;2;0,77;4;11;0;0;548;645;1087,18;18;11;33;415;4;99;112;1063,01;4;50;22;31;967,14;2;52;90;0;5;0;27;4;3;7,2;19;5;7;16;16;13;12;5;5;10;13;5;15;16;6;16;5;7;14,46;7,08;5;5;12,31;16;5;5;5,62;5;17;20;13;5;18;15,77;5;16;5;5;5;20;16;16;11;13,77;5;11,31;15
"Adam Knight";"11.0";"CA Buenos Aires";"D (RLC)";14;1260;204,9;1;0;4;0,46;2;7;0;0;617;713;1209,74;40;30;107;426,09;10;137;152;1274,42;6;55;26;33;899,04;2;53;92;0;4;0;13;14;1;7,49;19;5;9,57;16;18;13;12,07;5;5;10,71;13,07;5;15;17,93;6;16;5;7,07;16;9,57;5;5;13;16;5;5;6;5;17;20;13;5;18;16;5;16;5;5;5;20;16;16,21;12,71;16;5;13;15
"Adam Knight";"12.0";"CA Buenos Aires";"D (RLC)";14;1260;214,4;0;0;0;0,29;3;4;0;0;647;744;1212,13;21;29;145;264,67;2;125;141;1238,64;5;52;23;28;1108,34;3;46;86;0;5;0;20;11;5;6,97;19;5;13;16;18;13;13;5;5;11;15,43;5;15;18;6;16;5;8;16;12,29;5;5;13;16;5;5;6;5;17;20;13;5;18;16;5;18;5;5;5;20;16,43;18;13;16;5;13;15
"Adam Knight";"5.0";"CA Buenos Aires";"D (RL)";10;900;134,4;0;0;1;0,1;1;2;0;0;403;449;892,72;15;14;47;343,65;3;40;51;827,53;5;6;17;22;575;1;21;40;0;1;0;5;1;1;6,71;14;5;6;10;14,2;10;7;5;5;7;9,6;5;9;10,5;5,6;7;5;5;10;5;5;5;7;10,2;5;5;5;5;13,8;20;5;5;14;10;5;12,8;5;5;5;20;10;12;10;6,8;5;10;12,5
"Adam Knight";"6.0";"CA Buenos Aires";"D (RL)";10;900;130,7;0;0;1;0,05;0;1;0;0;589;660;888,27;11;8;45;203,39;5;67;70;949,04;1;10;14;19;676,67;2;37;51;0;1;0;8;8;2;6,97;16;5;6,6;13;15;10;7;5;5;7,3;10,3;5;10;12,2;6;10,5;5;5;10;5;5;5;7;11;5;5;5;5;14,5;20;5;5;16;10;5;15;5;5;5;20;13;13,6;10;7,7;5;10;14
"Adam Knight";"7.0";"CA Buenos Aires";"D (RL)";13,5;1182;186;1;0;3;0,64;3;9;0;0;658;733;1248,95;27;20;115;220,85;7;82;92;1236,54;1;25;23;30;991,66;3;47;60;0;1;0;14;12;8;7,33;17;5;7;13;15;12,14;7;5;5;9,93;11;5;12,36;13;6;12,5;5;5;11,5;5;5;5;7;11;5;5;5;5;17;20;5,5;5;17;12,5;5;16;5;5;5;20;13;14,29;10;9,57;5;10;14
"Adam Knight";"8.0";"CA Buenos Aires";"D (RL)";14;1260;208,3;1;0;3;0,8;0;6;0;0;591;693;1196,97;18;24;141;217,76;4;87;125;993,59;1;48;42;50;1170,84;1;80;63;2;6;0;31;14;6;7,14;17;5;7;16;15;13;7;5;5;10;12,57;5;14,43;16;6;14;5;5,14;13,14;5,79;5;5;7;11;5;5;5;5;17;20;7;5;17;13;5;16;5;5;5;20;13;15;10;13;5;10;14
"Adam Knight";"9.0";"CA Buenos Aires";"D (RL)";14;1233;190,7;0;0;4;1,26;3;19;0;0;684;783;1214,36;30;12;50;318,33;10;91;112;1153,4;0;44;32;41;1113,89;3;50;78;1;4;0;16;5;3;7,3;19;5;7;16;15,93;13;7,29;5;5;10;13;5;15;16;6;16;5;6,07;14;7;5;5;7;11;5;5;5;5;17;20;9,57;5;17;13,07;5;16;5;5;5;20;16;15,93;10,43;13;5;10;14,93
"Adam Rage";"10.0";"Montréal United";"GK";14;1260;81,2;0;0;0;0;0;0;0;0;443;541;1153,43;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;1;0;1;0;0;0;0;0;6,94;5;15;8;14;14;12;9;14;13;15;12;5;5;13;11;5;10;5;10;5;5;13;5;12;10;10;5;5;5;20;5;15;5;10;5;15;10;16;10;20;5;5;7;6;10;10;11
"Adam Rage";"11.0";"Montréal United";"GK";14;1260;88,8;1;0;0;0;0;0;0;0;512;592;1215,51;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;5;0;0;0;0;0;0;0;7,01;5;15;7;14;13;12;9;14;13;13;12;5;5;13;11;5;10;5;5;5;5;13;5;12;10;10;5;5;5;20;5;15;5;5;5;15;10;16;10;20;5;5;5;5;10;10;10
"Adam Rage";"12.0";"Montréal United";"GK";14;1260;61,7;1;0;0;0;0;0;0;0;442;601;1037,32;0;0;0;NA;0;0;0;NA;0;0;1;3;100;0;2;0;1;0;0;0;0;0;6,89;5;15;5;14;13;12;8;14;13;12;12;5;5;13;11;5;5;5;5;5;5;13;5;12;10;5;5;5;5;20;5;15;5;5;5;15;10;16;10;20;5;5;5;5;10;5;5
"Adam Rage";"2.0";"Montréal United";"GK";14;1260;86,8;1;0;0;0;0;0;0;0;577;659;1225,98;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;3;0;0;0;0;0;1;0;7,06;5;11;7;14;9;5;9;11;8;9,14;11,43;5;5;12;11;5;10;5;10;5;5;11;5;6,57;9;10;5;5;5;20;5;10;5;10;5;9;9;10;10;20;5;5;6;5,43;10;7,43;5
"Adam Rage";"3.0";"Montréal United";"GK";16;1440;68,2;3;0;0;0;0;0;0;0;552;651;1355,18;1;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;5;0;0;0;0;0;0;0;6,96;5;11;7;14;10;12;9;11;10;10;12;5;5;13;11;5;10;5;10;5;5;12;5;10,5;10;10;5;5;5;20;5;10;5;10;5;10;10;10;10;20;5;5;6;6;10;8;7,25
"Adam Rage";"4.0";"Montréal United";"GK";20;1800;101,8;1;0;0;0;0;0;0;0;802;1008;1610;0;0;0;NA;0;0;0;NA;0;0;2;4;200;1;5;0;0;0;0;0;0;0;7,08;5;14;8;14;10;12;9;13,35;12;10;12;5;5;13;11;5;10;5;10;5;5;12;5;12;10;10;5;5;5;20;5;12,35;5;10;5;10;10;10;10;20;5;5;6;6;10;8;9
"Adam Rage";"5.0";"União São Paulo";"GK";10;900;43,8;0;0;0;0;0;0;0;0;225;329;669,29;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;4;0;0;0;0;0;0;0;6,81;5;14,2;8;14;10;12;9;14;12,2;10,9;12;5;5;13;11;5;10;5;10;5;5;12;5;12;10;10;5;5;5;20;5;14,9;5;10;5;11,8;10;11,8;10;20;5;5;7;6;10;9,5;9,6
"Adam Rage";"6.0";"União São Paulo";"GK";14;1260;65,8;0;0;0;0;0;0;0;0;479;705;913,72;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;3;0;0;0;0;0;0;0;7,19;5;15;8;14;10;12;9;14;13;11;12;5;5;13;11;5;10;5;10;5;5;12;5;12;10;10;5;5;5;20;5;15;5;10;5;15;10;13;10;20;5;5;7;6;10;10;10
"Adam Rage";"7.0";"União São Paulo";"GK";14;1260;65,1;0;0;0;0;0;0;0;0;312;587;754,85;0;0;0;NA;0;0;0;NA;0;0;1;2;100;0;1;0;0;0;0;0;0;0;6,98;5;15;8;14;14;12;9;14;13;14,21;12;5;5;13;11;5;10;5;10;5;5;13;5;12;10;10;5;5;5;20;5;15;5;10;5;15;10;16;10;20;5;5;7;6;10;10;11
"Adam Rage";"8.0";"União São Paulo";"GK";14;1260;69;0;0;0;0;0;0;0;0;364;611;788,57;0;0;0;NA;0;0;0;NA;0;0;0;0;NA;0;1;0;0;0;0;0;0;0;6,94;5;15;8;14;14;12;9;14;13;15;12;5;5;13;11;5;10;5;10;5;5;13;5;12;10;10;5;5;5;20;5;15;5;10;5;15;10;16;10;20;5;5;7;6;10;10;11
"Adam Rage";"9.0";"União São Paulo";"GK";14;1260;64,5;1;0;0;0;0;0;0;0;386;564;998,92;1;0;0;NA;1;0;0;NA;0;0;0;1;0;0;3;0;1;0;0;0;0;0;7,06;5;15;8;14;14;12;9;14;13;15;12;5;5;13;11;5;10;5;10;5;5;13;5;12;10;10;5;5;5;20;5;15;5;10;5;15;10;16;10;20;5;5;7;6;10;10;11
"Adison Bond";"3.0";"Seoul MFC";"DM, M (LC)";12;1080;160,2;1;2;3;1,8;5;11;1;1;643;735;1042,54;12;5;43;233,33;1;27;39;754,17;1;9;17;25;613,33;1;16;26;0;3;0;25;9;7;6,8;7,92;5;12,17;7,92;11;7,92;11;5;5;6,17;5;10;10;5;5;13;5;12;13;5;5;5;5;7,92;5;5;10;5;10;20;5;5;12;10;10;10;5;5;5;20;10;10;5;10;5;5;5
"Aimo Tälli";"10.0";"CA Buenos Aires";"M (RC), AM (C)";14;1260;209,9;2;8;3;4,2;19;38;0;0;483;622;1071,29;37;9;35;290,55;9;42;86;738,19;3;22;12;18;675;1;27;21;0;0;0;6;8;2;7,34;18;5;5;16;15,86;12,21;5;5;5;18;13;5;13;20;10;16;5;16;17,64;13;15;5;7,79;9,29;5;5;15;5;5;20;16;5;16;18;5;13;5;5;5;20;16;5;13;18;5;20;15
"Aimo Tälli";"11.0";"CA Buenos Aires";"M (RC), AM (C)";14;1260;212,9;1;5;1;4,62;17;31;0;0;661;799;1154,29;39;13;35;366,66;16;64;94;997,97;1;21;13;16;680;2;33;24;1;2;0;14;3;1;7,31;18;5;5;16;17,14;15,93;5;5;5;18;13;5;13;20;10;18;5;16;18;13;15;5;13;13;5;5;15;5;5;20;16;5;18;18;5;13;5;5;5;20;16;5;14,07;18;5;20;15,21
"Aimo Tälli";"12.0";"CA Buenos Aires";"M (RC), AM (C)";14;1260;218,4;0;3;6;3,79;15;34;0;0;534;704;1061,29;30;11;42;416,66;9;39;60;813,1;2;32;10;16;475;0;24;14;0;0;0;3;9;2;6,87;16,21;5;5;16;18;16,07;5;5;5;18;13;5;13;18;5;18;5;17,64;18;16;15;5;13;13;5;5;15,57;5;5;20;16;5;17;18;5;13;5;5;5;20;16,07;5;16;18;5;18;16
"Aimo Tälli";"3.0";"CA Buenos Aires";"M/AM (C)";15;1350;219,3;1;5;2;2,25;8;21;0;0;603;711;1269,48;28;3;16;200;12;19;37;700;0;10;8;16;400;0;14;9;0;1;0;6;11;0;6,71;10;5;5;12;10;12;5;5;5;11,73;10;5;5;11,33;10;13;5;10;12,2;10;5;5;5;5;5;5;10;5;5;20;10,13;5;11;13;5;5;5;5;5;20;12;5;10,53;13;5;13;10
"Aimo Tälli";"4.0";"CA Buenos Aires";"M/AM (C)";20;1800;292,2;0;2;2;1,59;7;16;0;0;920;1087;1693,82;16;2;14;150;3;33;67;950;0;22;23;30;830,83;0;41;13;0;0;0;12;12;0;6,53;10;5;5;12;10;12;5;5;5;13;10;5;5;13;10;13;5;10;13,75;10;5;5;5;5;5;5;10;5;5;20;13;5;11,35;17;5;5;5;5;5;20;12;5;13;14,95;5;15,4;10
"Aimo Tälli";"5.0";"CA Buenos Aires";"M/AM (C)";10;900;142,4;1;1;6;2,17;4;15;0;0;516;615;835,27;18;5;21;247,62;8;20;30;531,66;2;5;9;15;466,67;0;21;15;0;0;0;4;2;0;7,19;15;5;5;12;13,3;12;5;5;5;14,2;10;5;5;15;10;13;5;10;16;10;5;5;5;5;5;5;10;5;5;20;14;5;15;17;5;5;5;5;5;20;12;5;13;16;5;16;11,1
"Aimo Tälli";"6.0";"CA Buenos Aires";"M (RC), AM (C)";9;810;126,1;0;0;0;0,8;2;7;0;0;664;753;789,48;18;5;12;333,33;4;20;37;461,9;3;1;3;4;300;0;16;13;0;0;0;3;2;2;6,9;15;5;5;12;14;12;5;5;5;15;10;5;5;17;10;13,89;5;10;16;10;5;5;5;5;5;5;10,44;5;5;20;16;5;15;17,56;5;5;5;5;5;20;12;5;13;17,44;5;18;14
"Aimo Tälli";"6.0";"CA Buenos Aires";"M/AM (C)";1;90;13,6;0;0;0;0;0;0;0;0;75;101;74,26;1;1;1;100;0;3;8;37,5;0;0;1;1;100;0;1;1;0;0;0;1;0;0;6,3;15;5;5;12;14;12;5;5;5;15;10;5;5;17;10;13;5;10;16;10;5;5;5;5;5;5;10;5;5;20;16;5;15;17;5;5;5;5;5;20;12;5;13;16;5;18;14
"Aimo Tälli";"7.0";"CA Buenos Aires";"M (RC), AM (C)";14;1248;206,5;1;9;2;7,08;29;48;0;0;819;1012;1133,73;38;4;11;300;5;29;62;594,04;1;5;19;21;850;2;16;9;0;2;0;11;14;5;7,4;15,43;5;5;12;14;12;5;5;5;15;12,86;5;5;17;10;15;5;12,5;16;10;14,57;5;5;5;5;5;15;5;5;20;16;5;15;18;5;5;5;5;5;20;12;5;13;18;5;18;14
"Aimo Tälli";"8.0";"CA Buenos Aires";"M (RC), AM (C)";14;1260;221;0;5;4;1,45;8;17;0;0;643;815;1104,53;20;6;26;178,33;11;41;74;838,47;2;17;18;27;808,34;0;24;16;1;2;0;12;6;0;6,92;17;5;5;13;14;12;5;5;5;15;13;5;5;19,5;10;15;5;15;16;10,57;15;5;5;5;5;5;15;5;5;20;16;5;16;18;5;5;5;5;5;20;12;5;13;18;5;20;15
"Aimo Tälli";"9.0";"CA Buenos Aires";"M (RC), AM (C)";14;1260;218;0;1;3;3,02;4;25;0;0;635;764;1162,96;41;10;62;230,72;6;35;63;855;4;33;24;27;1083,34;2;20;16;0;3;0;15;8;2;7,07;17;5;5;15;14;12;5;5;5;18;13;5;11,79;20;10;16;5;16;16;13;15;5;5;5;5;5;15;5;5;20;16;5;16;18;5;9,43;5;5;5;20;12,5;5;13;18;5;20;15
"Akiel Adams";"7.0";"Red Star Laos";"AM (L)";5;450;72,7;0;1;1;1,04;4;10;0;0;96;114;428,19;4;6;26;108,57;1;12;26;247,63;1;10;5;8;200;0;5;4;0;1;0;7;4;1;6,22;15;5;5;14;5;12;5;5;5;5;5;5;7,4;9;5;14;5;15;13,8;5;5;5;5;5;5;5;5;5;5;20;12;5;11,4;11,6;5;5;5;5;5;20;5;6;5;13;5;5;5
